                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2548,                 3.8956,                 1.7275,                0.71137,                    0.5,                0.56402,                0.36325,                 1.2346,                 2.9712,                 1.1395,                      0,                      0,                      0
                      2,                 2.0018,                 3.6948,                 1.5301,                 0.6956,                    0.5,                0.53858,                0.35424,                 1.2029,                 2.7369,                 1.0609,             1.9736e-05,             1.9736e-05,             1.9736e-05
                      3,                  1.823,                 3.8748,                 1.3758,                0.38774,                0.66667,                0.44613,                0.31567,                 1.2002,                 2.4135,                0.93142,             3.8944e-05,             3.8944e-05,             3.8944e-05
                      4,                  1.633,                 2.7481,                 1.3428,                0.94031,                    0.5,                 0.7875,                0.50361,                 1.3281,                 2.2152,                0.92737,             5.7624e-05,             5.7624e-05,             5.7624e-05
                      5,                 1.7719,                 2.5722,                 1.4055,                0.97856,                0.83333,                  0.915,                0.50796,                 1.3884,                 2.6329,                 1.0014,             7.5776e-05,             7.5776e-05,             7.5776e-05
                      6,                 1.6098,                  2.104,                 1.2933,                0.98595,                0.83333,                 0.8734,                0.49313,                 1.4721,                 2.9135,                 1.0337,               9.34e-05,               9.34e-05,               9.34e-05
                      7,                 1.4809,                 1.9429,                 1.2223,                0.97854,                0.83333,                 0.8734,                0.51988,                  1.472,                 2.9829,                  1.035,              0.0001105,              0.0001105,              0.0001105
                      8,                  1.731,                 1.7913,                 1.1401,                0.73034,                0.83333,                 0.8349,                0.52881,                 1.3939,                 3.1493,                 1.0678,             0.00012706,             0.00012706,             0.00012706
                      9,                 1.7562,                 1.6212,                 1.3375,                0.70455,                0.79925,                 0.8131,                0.54557,                 1.2567,                 3.0334,                 1.0622,              0.0001431,              0.0001431,              0.0001431
                     10,                 1.5926,                 1.5212,                 1.1643,                0.71204,                0.83333,                0.77837,                 0.5498,                 1.2792,                 2.3945,                 1.0648,             0.00015862,             0.00015862,             0.00015862
                     11,                 1.4895,                 1.7976,                 1.2056,                0.98342,                0.83333,                  0.875,                0.59987,                 1.2256,                 1.9498,                 1.0643,              0.0001736,              0.0001736,              0.0001736
                     12,                 1.6691,                 1.4957,                 1.2473,                 0.9773,                0.83333,                  0.931,                 0.5847,                  1.373,                 1.9009,                   1.16,             0.00018806,             0.00018806,             0.00018806
                     13,                  1.403,                 1.2506,                 1.1464,                0.85322,                0.97255,                0.97214,                0.54971,                 1.5718,                 1.9631,                 1.2111,             0.00020198,             0.00020198,             0.00020198
                     14,                 1.3967,                 1.4243,                 1.1194,                0.83847,                      1,                0.97214,                0.48605,                 1.8753,                 2.2448,                 1.2788,             0.00021538,             0.00021538,             0.00021538
                     15,                 1.4473,                 1.1975,                 1.0805,                0.73603,                      1,                0.89833,                 0.4716,                 1.8463,                 1.8621,                 1.3006,             0.00022826,             0.00022826,             0.00022826
                     16,                 1.2406,                 1.1952,                 1.0555,                0.74854,                 0.9932,                0.92667,                0.57635,                 1.5512,                 1.9547,                 1.1352,              0.0002406,              0.0002406,              0.0002406
                     17,                  1.257,                  1.238,                 1.0688,                0.95788,                0.83333,                  0.931,                0.62997,                 1.3236,                 1.8557,                 1.0111,             0.00025242,             0.00025242,             0.00025242
                     18,                 1.2114,                 1.0309,                 1.0392,                0.95788,                0.83333,                  0.931,                0.62997,                 1.3236,                 1.8557,                 1.0111,              0.0002637,              0.0002637,              0.0002637
                     19,                  1.247,                 1.1779,                 1.0936,                0.85626,                0.83333,                  0.915,                0.64948,                 1.2863,                 1.7241,                0.99269,             0.00027446,             0.00027446,             0.00027446
                     20,                 1.3044,                 1.0373,                 1.0679,                0.85626,                0.83333,                  0.915,                0.64948,                 1.2863,                 1.7241,                0.99269,              0.0002847,              0.0002847,              0.0002847
                     21,                 1.3595,                 1.1283,                 1.0575,                0.86919,                0.83333,                0.92227,                 0.5234,                 1.5192,                 1.6077,                 1.0586,              0.0002944,              0.0002944,              0.0002944
                     22,                 1.0773,                 0.9734,                 1.0317,                0.86919,                0.83333,                0.92227,                 0.5234,                 1.5192,                 1.6077,                 1.0586,             0.00030358,             0.00030358,             0.00030358
                     23,                 1.1198,                0.90696,                 1.0385,                0.82058,                0.83333,                  0.895,                 0.4818,                 1.5917,                 1.7482,                 1.1149,             0.00031222,             0.00031222,             0.00031222
                     24,                 1.0955,                0.98832,                 1.0087,                0.82058,                0.83333,                  0.895,                 0.4818,                 1.5917,                 1.7482,                 1.1149,             0.00032034,             0.00032034,             0.00032034
                     25,                 1.0508,                0.86988,                0.98365,                0.96573,                0.83333,                  0.883,                0.48988,                 1.6827,                 1.3804,                  1.157,             0.00032794,             0.00032794,             0.00032794
                     26,                 1.4839,                 1.2531,                  1.069,                0.96573,                0.83333,                  0.883,                0.48988,                 1.6827,                 1.3804,                  1.157,               0.000335,               0.000335,               0.000335
                     27,                 1.2795,                0.92856,                 1.0034,                0.40892,                0.83333,                0.36072,                 0.2197,                 1.5335,                 2.2919,                 1.0845,             0.00034154,             0.00034154,             0.00034154
                     28,                 1.0206,                 1.0336,                0.97133,                0.40892,                0.83333,                0.36072,                 0.2197,                 1.5335,                 2.2919,                 1.0845,             0.00034754,             0.00034754,             0.00034754
                     29,                 1.0551,                 1.0125,                0.97445,                0.98476,                0.83333,                0.87192,                0.57234,                 1.4607,                 1.2277,                 1.2069,             0.00035302,             0.00035302,             0.00035302
                     30,                 1.4123,                 1.0704,                 1.1288,                0.98476,                0.83333,                0.87192,                0.57234,                 1.4607,                 1.2277,                 1.2069,             0.00035798,             0.00035798,             0.00035798
                     31,                 1.1948,                0.91842,                 1.0202,                0.98439,                0.83333,                0.85278,                0.52953,                 1.5822,                 1.2475,                 1.3464,              0.0003624,              0.0003624,              0.0003624
                     32,                 1.2304,                 1.0356,                 1.0714,                0.98439,                0.83333,                0.85278,                0.52953,                 1.5822,                 1.2475,                 1.3464,              0.0003663,              0.0003663,              0.0003663
                     33,                 1.1339,                   0.92,                0.96832,                0.39358,                0.83333,                 0.4677,                0.27578,                 1.7259,                 3.4692,                 1.3392,             0.00036966,             0.00036966,             0.00036966
                     34,                 1.0276,                0.77763,                0.95418,                0.39358,                0.83333,                 0.4677,                0.27578,                 1.7259,                 3.4692,                 1.3392,              0.0003725,              0.0003725,              0.0003725
                     35,                 1.0691,                0.79036,                0.96392,                 0.7912,                0.83333,                0.81082,                0.48011,                 1.5466,                 1.5999,                  1.175,             0.00037482,             0.00037482,             0.00037482
                     36,                0.98976,                0.71475,                0.96373,                 0.7912,                0.83333,                0.81082,                0.48011,                 1.5466,                 1.5999,                  1.175,              0.0003766,              0.0003766,              0.0003766
                     37,                0.98527,                0.77749,                 1.0186,                0.99357,                0.83333,                0.84003,                0.54408,                 1.4229,                 1.1678,                 1.1596,             0.00037786,             0.00037786,             0.00037786
                     38,                0.93609,                0.72334,                0.98783,                0.99357,                0.83333,                0.84003,                0.54408,                 1.4229,                 1.1678,                 1.1596,             0.00037858,             0.00037858,             0.00037858
                     39,                0.98739,                0.70808,                0.95634,                0.99992,                0.83333,                0.84912,                0.58028,                 1.3888,                 1.2568,                 1.1378,             0.00037878,             0.00037878,             0.00037878
                     40,                 1.0606,                0.74422,                0.96992,                0.99992,                0.83333,                0.84912,                0.58028,                 1.3888,                 1.2568,                 1.1378,             0.00037846,             0.00037846,             0.00037846
                     41,                0.92685,                 0.6905,                0.95231,                0.48945,                0.66667,                0.49939,                0.35922,                 1.4458,                 2.0707,                 1.2188,              0.0003776,              0.0003776,              0.0003776
