                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4293,                 2.8415,                 1.3942,                0.70583,                 0.4462,                0.47703,                0.30379,                 1.2749,                 3.2639,                 1.2873,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.3613,                 1.4761,                 1.2752,                0.84077,                0.68319,                 0.7401,                0.44931,                 1.3062,                 1.6539,                 1.2668,             0.00031359,             0.00031359,             0.00031359
                      3,                 1.3234,                 1.2531,                 1.2263,                 0.6835,                0.65996,                0.63431,                0.36174,                   1.43,                 1.6247,                 1.3765,             0.00047386,             0.00047386,             0.00047386
                      4,                 1.3388,                 1.1805,                 1.2671,                0.71251,                0.68519,                0.70028,                0.38494,                 1.4782,                 2.0198,                 1.4288,             0.00063082,             0.00063082,             0.00063082
                      5,                 1.4154,                 1.1579,                 1.2956,                0.59806,                0.60167,                0.57187,                0.31494,                 1.5376,                 2.3858,                 1.5052,             0.00078448,             0.00078448,             0.00078448
                      6,                 1.3633,                 1.1515,                 1.2787,                0.50734,                0.36295,                0.35134,                  0.167,                 1.7364,                 2.7698,                 1.7309,             0.00093485,             0.00093485,             0.00093485
                      7,                 1.3268,                 1.1243,                 1.2511,                0.53916,                0.56097,                0.49486,                0.21913,                 1.6852,                 2.5201,                 1.6742,              0.0010819,              0.0010819,              0.0010819
                      8,                 1.3474,                 1.1177,                 1.2929,                0.77616,                0.38152,                0.55413,                0.28332,                 1.6482,                 2.8015,                  1.621,              0.0012257,              0.0012257,              0.0012257
                      9,                  1.343,                  1.053,                 1.2668,                0.60818,                0.55798,                0.57405,                0.31532,                 1.6079,                 3.6772,                 1.5171,              0.0013661,              0.0013661,              0.0013661
                     10,                 1.3843,                 1.0945,                 1.2669,                0.54514,                0.39498,                0.39593,                0.18621,                 1.8193,                  2.855,                 1.5884,              0.0015033,              0.0015033,              0.0015033
                     11,                 1.3586,                  1.114,                 1.3186,                0.59255,                0.54491,                0.54003,                 0.2542,                 1.7706,                 1.7391,                 1.6155,               0.001502,               0.001502,               0.001502
                     12,                  1.326,                 1.0632,                 1.2623,                0.67879,                0.67699,                 0.6649,                0.35689,                  1.688,                 1.5488,                 1.6422,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3657,                 1.0631,                 1.2961,                0.56518,                0.54004,                0.51214,                0.25543,                 1.5817,                 2.1205,                 1.5594,               0.001469,               0.001469,               0.001469
                     14,                 1.3051,                0.99088,                 1.2709,                0.57248,                0.58333,                 0.5172,                0.25888,                 1.7329,                 1.5672,                 1.5764,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.3065,                0.98923,                 1.2819,                0.76687,                 0.5511,                0.60958,                0.29968,                 1.7466,                 1.4261,                 1.6419,               0.001436,               0.001436,               0.001436
                     16,                 1.3224,                 1.0285,                 1.2845,                0.72794,                0.65344,                0.67538,                0.32361,                 1.8187,                 1.2814,                 1.7146,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3221,                0.95579,                 1.2573,                0.64208,                0.58009,                0.58419,                0.30657,                 1.7141,                 1.3951,                 1.5855,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3206,                  1.005,                 1.2504,                0.68212,                0.63014,                0.66699,                0.34736,                 1.6177,                 1.2579,                 1.5547,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.2831,                0.94281,                 1.2251,                0.70709,                0.68455,                0.67458,                0.34702,                 1.6595,                 1.2575,                 1.5561,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.2447,                0.89065,                 1.2019,                0.64964,                0.60474,                0.62412,                0.31918,                 1.6087,                 1.4717,                 1.5402,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2663,                0.88289,                 1.2216,                0.79171,                 0.5773,                0.65323,                0.30848,                 1.8091,                  1.354,                 1.6565,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2662,                0.92241,                 1.2424,                0.66002,                0.59481,                0.56312,                0.25927,                 1.8443,                 1.6216,                 1.6599,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2496,                0.88308,                 1.1996,                0.69049,                0.52132,                0.54527,                0.25844,                 1.8696,                 1.5328,                 1.6888,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2393,                0.87329,                 1.1998,                0.75318,                0.73159,                0.71581,                0.39556,                 1.5919,                 1.2083,                 1.4781,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1973,                0.85702,                  1.202,                 0.7086,                0.69794,                0.71951,                0.40574,                 1.5345,                 1.1992,                 1.4465,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.2247,                0.88877,                 1.2027,                0.74832,                0.68833,                0.73921,                0.40671,                 1.5305,                 1.4011,                 1.4973,              0.0012544,              0.0012544,              0.0012544
